Filename,COUNTA
com.daraz.android_log.txt,387
QVC,326
Peppermint.txt,152
Rappi.txt,105
99acres.txt,97
1800Flowers.txt,97
Housing.txt,96
Factor.txt,92
FreshDirect.txt,81
Band.txt,77
Moglix.txt,73
Industrybuying,69
iSharing.txt,63
Hotels.com.txt,61
Lovoo.txt,59
F3.txt,59
MeYo.txt,56
Jaumo.txt,50
halara.txt,50
Virtual,49
Giant.txt,49
freshtohome.txt,49
TrueCar.txt,48
PandaExpress.txt,47
Josh.txt,47
Rue,46
Zenni.txt,44
Vinted.txt,44
JustEat.txt,44
Redfin.txt,43
Peoople.txt,43
Tiya.txt,42
Noom.txt,41
Kutumb.txt,41
StockX.txt,40
My,40
MonkeyRandomVideoChats.txt,40
Moco.txt,40
Limeroad.txt,40
Waplog.txt,39
Poizon.txt,39
Meesho.txt,39
Idealo.txt,39
Streeteasy.txt,38
One,38
Recover,37
Hoop.txt,37
Air,37
AcaiExpress.txt,36
TousAntiCovid.txt,35
Step,35
MaliPregnancyAndParenting.txt,35
Universal,34
Sticker,34
Moya,34
Happn.txt,34
DH,34
BeyondMenu.txt,34
Argo.txt,34
Zomato.txt,33
Vivino.txt,33
Toters.txt,33
SideChef.txt,33
Qeep.txt,33
Pal,33
Milk,33
Get,33
CheapOair.txt,33
Chatous.txt,33
Medscape.txt,32
Healthify.txt,32
CarDotCom.txt,32
CarDekho.txt,32
Zillow.txt,31
Verizon,31
PoppoLive.txt,31
Kuka.txt,31
FindNow.txt,31
PHI,30
Ovulation,30
MigraineBuddy.txt,30
MiFit.txt,30
Max,30
Lamour.txt,30
EasyJet.txt,30
All,30
WAMR.txt,29
MrD.txt,29
Medlife.txt,29
Glovo.txt,29
buycycle.txt,29
BigOvenMealPlanner.txt,29
Zulily.txt,28
Untapped.txt,28
Timo,28
snapdeal.txt,28
RealtorDotCom.txt,28
PopUp.txt,28
Ixigo.txt,28
Eyecon.txt,28
UltaBeauty.txt,27
Translate,27
QR,27
LCW.txt,27
happy,27
Freeletics.txt,27
Forever,27
EuroStarTrains.txt,27
Droom.txt,27
BoltFood.txt,27
AllDotCom.txt,27
ten,26
Tellonym.txt,26
PersonalStickerForWhatsapp.txt,26
OragForexTrading.txt,26
MyVinPearl.txt,26
KLarma.txt,26
eMeals.txt,26
CuteU.txt,26
Realme,25
prognosis.txt,25
Clubhouse.txt,25
Back,25
Seamless.txt,24
Panera,24
Nespresso.txt,24
Medicalc.txt,24
HotPads.txt,24
FreshBrothers.txt,24
EuropeCar.txt,24
CareRev.txt,24
BioMobile.txt,24
Autozone.txt,24
AEDQuebec.txt,24
WineSearcher.txt,23
WeLibrary.txt,23
Videogram.txt,23
VarageSale.txt,23
MySimba.txt,23
ModCloth.txt,23
Listonic.txt,23
LikeCard.txt,23
KLM.txt,23
Hotwire.txt,23
HotelsCombined.txt,23
Hacoo,23
Yubo.txt,22
Yelp.txt,22
Wingstop.txt,22
Water,22
Tira.txt,22
Sephora.txt,22
Pingo.txt,22
Matalan.txt,22
Deliverydotcom.txt,22
Autotrader.txt,22
AlfaGift.txt,22
Adil,22
Pizza,21
Peapod.txt,21
Ok,21
MyFinessPal.txt,21
MobileDeCarMarket.txt,21
Meet,21
GNC.txt,21
Fry_s.txt,21
Cheaptockets.txt,21
BloodPressureDB.txt,21
Between.txt,21
Ajio,21
30,21
Wait,20
TipCalculator.txt,20
Quit,20
PregnancyApp.txt,20
Period,20
Oral-B.txt,20
MyQuest.txt,20
MobileShopper.txt,20
Home,20
Heart,20
Fabiindia.txt,20
DrugsMedicationGuide.txt,20
BMI,20
Blood,20
Auro.txt,20
Yazio.txt,19
Whoosh.txt,19
Tokopedia.txt,19
SmoothieKing.txt,19
RentApartentsAndHomes.txt,19
Our,19
OpenTable.txt,19
Lose,19
ListEase.txt,19
Instant,19
IGp,19
Gato.txt,19
Edmunds.txt,19
Dilions.txt,19
BloodPressureApp.txt,19
BeReal.txt,19
AutoScout24.txt,19
Amwell.txt,19
Zello.txt,18
WineAccess.txt,18
TitalWorld.txt,18
RemoteCOntrolToysShopping.txt,18
Pregnancy,18
Omi.txt,18
Messages.txt,18
Locket.txt,18
HiBox.txt,18
Glycemic,18
Express,18
Carousell.txt,18
Boots.txt,18
AdventureCraft.txt,18
zara.txt,17
Travelocity.txt,17
SpecialtyProduce.txt,17
BritishAirways.txt,17
AboutMe.txt,17
WhiteCastleOnlineOrdering.txt,16
Whatweb,16
Soy,16
NJTradingAccount.txt,16
DiabetesM_BloodSugarDiary.txt,16
Cubamor.txt,16
CarWale.txt,16
Wikem.txt,15
TrustKeysNetwork.txt,15
Redcherry,15
Listia.txt,15
Kismia.txt,15
Hotel,15
Hilton,15
Currency.txt,15
BiFinance.txt,15
Autodoc.txt,15
Zumpwe.txt,14
PetalHealth.txt,14
Pegi,14
Nyka.txt,14
iMe Messenger,14
HungryHowies.txt,14
heatup.txt,14
DoorDash.txt,14
Deal,14
Cryptosignal.txt,14
Cryptocurrency,14
akulaku.txt,14
99mobilecovers.txt,14
ZenoHealth.txt,13
Video,13
Picnin,13
mamaearth.txt,13
LuluShopping.txt,13
Blogger.txt,13
accesswireless.txt,13
zalando.txt,12
Rothwell.txt,12
Pincode.txt,12
mySugr.txt,12
CountryDelight.txt,12
BlackMarket.txt,12
Apollobot.txt,12
Zocdoc.txt,11
TATAHealthcare.txt,11
Sickdeals.txt,11
Realu,11
Giva.txt,11
Decatholn.txt,11
Cliqq.txt,11
AnovaCulinary.txt,11
Zood.txt,10
VirginAtlantic.txt,10
Takealot.txt,10
PepperFly,10
Coinminer.txt,10
Chewy.txt,10
Calorie,10
